"pid","laddr","raddr","status"
"14780","192.168.2.178@55872","52.84.239.51@443","ESTABLISHED"
"14780","192.168.2.178@56196","192.30.253.112@443","CLOSE_WAIT
"14780","192.168.2.178@55970","52.5.25.66@443","ESTABLISHED"
"14780","192.168.2.178@55930","151.101.64.133@443","ESTABLISHE
"14780","192.168.2.178@56201","192.30.253.112@443","CLOSE_WAIT
"14780","192.168.2.178@56200","192.30.253.117@443","CLOSE_WAIT
"14780","192.168.2.178@56060","158.85.224.176@443","ESTABLISHE
"14780","192.168.2.178@55831","173.194.202.188@5228","ESTABLIS
"14780","192.168.2.178@56037","151.101.192.133@443","ESTABLISH
"14780","192.168.2.178@56138","192.30.253.125@443","ESTABLISHE
"14780","192.168.2.178@56038","151.101.64.133@443","ESTABLISHE
"14780","192.168.2.178@56204","192.30.253.125@443","ESTABLISHE
"14780","192.168.2.178@56198","151.101.192.133@443","ESTABLISH
"14780","192.168.2.178@56163","54.165.4.58@443","ESTABLISHED"
"14780","192.168.2.178@56197","192.30.253.112@443","CLOSE_WAIT
"14780","192.168.2.178@55917","151.101.64.133@443","ESTABLISHE
"9224","192.168.2.178@55702","91.190.217.44@12350","CLOSE_WAIT
"4","fe80::5c9a:78a6:9790:41f3@445","fe80::5c9a:78a6:9790:41f3
"9224","192.168.2.178@55701","65.55.223.41@40024","CLOSE_WAIT"
"4","fe80::5c9a:78a6:9790:41f3@61602","fe80::5c9a:78a6:9790:41
"1952","192.168.2.178@55510","65.52.108.222@443","ESTABLISHED"
"5584","192.168.2.178@55604","65.52.108.230@443","ESTABLISHED"
"956","192.168.2.178@55512","65.52.108.205@443","ESTABLISHED"
